timestamp,block_number,issued_tao,staked_tao,staked_percentage,accounts,balance_holders,staked_pct_7d,staked_pct_30d
2025-02-04 23:59:48+00:00,4857421,8313387.079548941,6044314.165584839,72.70579497559957,230782,130750,72.71975131898924,72.35907602470469
2025-02-05 23:59:48+00:00,4864621,8320037.531763376,6048997.617086895,72.7039703125576,231409,131014,72.63619394028782,72.29986287378985
2025-02-06 23:59:48+00:00,4871820,8326728.207089099,6057316.159029365,72.74545305648824,232093,131330,72.57663035331856,72.25841528455939
2025-02-07 23:59:48+00:00,4878757,8333088.89853771,6056696.702057928,72.682492360315,232637,131541,72.47984237560793,72.24090328767224
2025-02-08 23:59:48+00:00,4885596,8339561.738680123,6030656.929536418,72.31383516912331,233063,131746,72.25788562238526,72.23229495364802
2025-02-09 23:59:48+00:00,4892436,8346050.020931382,6025796.883897913,72.19938616214357,233599,132028,72.02494766697849,72.22121750058186
2025-02-10 23:59:48+00:00,4899446,8352597.364386973,6014535.352745976,72.00796459302818,234549,132634,71.64117224960951,72.21578563337945
2025-02-11 23:59:48.001000+00:00,4906646,8359273.941055357,5947798.761804553,71.152097703041,235323,133114,71.37324320819924,72.20437641495114
2025-02-12 23:59:48+00:00,4913846,8365924.557106242,5945947.41107011,71.07340462471015,235976,133390,71.20050748364264,72.1926070544147
2025-02-13 23:59:48.001000+00:00,4921036,8372708.90870688,5865838.238823412,70.05902513490534,236767,133900,71.04571769884647,72.17793624267019
2025-02-14 23:59:48+00:00,4928236,8379901.517089341,5933555.951319352,70.80698907044318,237517,134420,70.95210151841538,72.16199891275618
2025-02-15 23:59:48+00:00,4935436,8387098.072725221,5963619.673406866,71.10468509722703,238019,134702,71.00440242691779,72.14536343522023
2025-02-16 23:59:48+00:00,4942636,8379414.471483382,5959092.468999712,71.1158576685704,238525,134986,71.10055825779285,72.13109503522021
2025-02-17 23:59:48.001000+00:00,4949836,8383175.057180936,5981617.668934728,71.35265133001057,239258,135297,71.43815598082638,72.11800702091736
2025-02-18 23:59:48.001000+00:00,4957036,8390333.575377394,6000615.88796771,71.51820406255786,240119,135731,71.67931894509783,72.10767981742
2025-02-19 23:59:48+00:00,4964236,8383104.57048556,6014583.738463899,71.74649544083556,241587,136704,71.89768426816929,72.10425710733467
2025-02-20 23:59:48.001000+00:00,4971436,8390181.529159304,6076354.818983649,72.42220919614,242708,137460,72.11467318527501,72.10864798160925
2025-02-21 23:59:48+00:00,4978636,8397172.83608002,6087541.348754826,72.49512982034344,243915,138194,72.33516463021473,72.11239438932586
2025-02-22 23:59:48+00:00,4985836,8404014.881616695,6104108.496828157,72.63324235872723,244569,138641,72.49804559028124,72.11443921887503
2025-02-23 23:59:48+00:00,4993036,8411211.48469672,6109464.964672171,72.63478008831041,245175,139012,72.61607549354564,72.11065874391821
2025-02-24 23:59:48.001000+00:00,5000231,8390828.563040374,6116586.062272571,72.8960914445886,245818,139387,72.62234611575575,72.11330526894216
2025-02-25 23:59:48+00:00,5007431,8398025.222508937,6101868.304622367,72.65837078302336,246612,139793,72.63260352542997,72.11560151533313
2025-02-26 23:59:48+00:00,5014631,8404874.140645161,6099644.49584984,72.57270476368643,247165,140056,72.62234707152513,72.12457013287491
2025-02-27 23:59:48.001000+00:00,5021831,8412071.953501077,6095900.772660099,72.46610355161079,247732,140341,72.6083763290807,72.16080734501097
2025-02-28 23:59:48.001000+00:00,5029031,8419266.04419528,6109603.038927467,72.56693168806294,248271,140633,72.55266274998912,72.2007561453046
