timestamp,block_number,issued_tao,staked_tao,circulating_tao,staked_percentage,circulating_percentage,total_market_cap_usd,staked_market_cap_usd,circulating_market_cap_usd,tao_price_usd,accounts,balance_holders,staked_pct_7d,staked_pct_30d
2023-12-23 23:59:48+00:00,1995314,5914952.073229575,5233669.089567424,681282.9836621508,88.48202022218298,11.517979777817017,1900060054.4835362,1681211521.6417437,218848532.8417927,321.23,71574,37287,88.69278776430967,89.03367367667012
2023-12-24 23:59:48+00:00,2002501,5921755.757954262,5241413.31526096,680342.4426933024,88.51113638418052,11.488863615819483,1902245602.1276476,1683699199.2612782,218546402.86636955,321.23,72300,37845,88.60519856919306,89.00731627026653
2023-12-25 23:59:48.001000+00:00,2009670,5928423.292848053,5249223.092718297,679200.2001297567,88.54332481708701,11.456675182913001,1904387414.3615804,1686207934.0738986,218179480.28768176,321.23,72679,38098,88.54757964263091,88.9749741817644
2023-12-26 23:59:48+00:00,2016784,5935142.028734012,5258599.790890417,676542.2378435945,88.60107753836004,11.398922461639954,1906545673.8902266,1689220010.8277287,217325663.06249788,321.23,73132,38338,88.58642019331137,88.94770123450272
2023-12-27 23:59:48+00:00,2023690,5941619.137316906,5268399.340861444,673219.7964554615,88.66942190509586,11.330578094904139,1908626315.4803097,1692367920.264922,216258395.2153879,321.23,73577,38598,88.61464840456294,88.91769742342613
2023-12-28 23:59:48+00:00,2030545,5948025.505174466,5275922.884936854,672102.6202376122,88.70040789749609,11.299592102503908,1910684233.027194,1694784708.3282657,215899524.69892818,321.23,73923,38791,88.62784100472334,88.89063877050835
2023-12-29 23:59:48+00:00,2037411,5954406.78708106,5275458.684533854,678948.102547206,88.59755258877709,11.402447411222917,1912734092.214049,1694635593.23281,218098498.981239,321.23,74301,38965,88.64077531234322,88.86570346080534
2023-12-30 23:59:48+00:00,2044253,5960787.282993842,5286003.374525433,674783.9084684085,88.6796177009441,11.320382299055876,1914783698.916112,1698022863.998805,216760834.91730687,321.23,74603,39101,88.64172785933836,88.84596101471593
2023-12-31 23:59:48+00:00,2051104,5967158.259367525,5287110.148519352,680048.1108481726,88.6034845853032,11.39651541469679,1916830247.65663,1698378393.0088716,218451854.64775848,321.23,74833,39217,88.64075158325753,88.82458132284451
2024-01-01 23:59:48.001000+00:00,2057937,5973494.629356059,5294539.16379911,678955.4655569494,88.63386497042619,11.366135029573812,1918865679.788047,1700764815.5871882,218100864.20085886,321.23,75121,39360,88.66753356311234,88.80298343557327
2024-01-02 23:59:48+00:00,2064768,5979820.737978014,5298584.332930113,681236.405047901,88.60774536732599,11.392254632674002,1920897815.6606777,1702064245.2671404,218833570.39353725,321.23,75450,39526,88.70323322237996,88.78311317737919
2024-01-03 23:59:48+00:00,2071591,5986112.895808477,5307442.612381161,678670.2834273158,88.66258797253012,11.33741202746988,1922919045.5205572,1704909790.3752005,218009255.14535666,321.23,75781,39706,88.72732873268613,88.76502659917973
2024-01-04 23:59:48+00:00,2078419,5992406.241611052,5326522.974411141,665883.2671999112,88.8878817564797,11.112118243520305,1924940656.9927185,1711038975.070091,213901681.92262748,321.23,76154,39857,88.76088668685485,88.74843154058671
2024-01-05 23:59:48+00:00,2085247,5998664.823527772,5329660.741967732,669004.0815600399,88.84745020365042,11.152549796349572,1926951101.2618263,1712046920.1422946,214904181.11953163,321.23,76517,40020,88.7726776474274,88.7482400554686
